,Accuracy,F1
Logistic Regression,0.582,0.5970437017994858
SVM,0.5723333333333334,0.5794821370042609
Random Forest,0.5543333333333333,0.684297520661157
XGBoost,0.5436666666666666,0.6784120272492365
